iter	Logloss
0	0.6891182363
1	0.6849459681
2	0.6813373101
3	0.6777713023
4	0.6732041784
5	0.6688842324
6	0.6649341435
7	0.6616818815
8	0.6573656751
9	0.6534896835
10	0.6490255907
11	0.6451134981
12	0.6405096446
13	0.6370783423
14	0.6335911893
15	0.6289060505
16	0.6254778222
17	0.6220171205
18	0.6182912078
19	0.6144790004
20	0.6107822395
21	0.6068978349
22	0.6032269831
23	0.5996973716
24	0.5964602239
25	0.5937479346
26	0.58943034
27	0.5854543641
28	0.5826766812
29	0.5791765883
30	0.5763073739
31	0.5726611899
32	0.5696630975
33	0.5660598814
34	0.5632603417
35	0.5594882353
36	0.5563487787
37	0.553778994
38	0.5506051008
39	0.5472504795
40	0.5446633859
41	0.5409271602
42	0.5372663702
43	0.5341143101
44	0.5311814711
45	0.5283326214
46	0.5250849133
47	0.5224340286
48	0.51991177
49	0.5171489765
50	0.5144171187
51	0.5111565059
52	0.5081133192
53	0.5056254168
54	0.5033161541
55	0.5005353051
56	0.4972737186
57	0.4946323262
58	0.491948386
59	0.4900157295
60	0.4874757136
61	0.4849226093
62	0.4824650748
63	0.4797344861
64	0.477482185
65	0.4751998814
66	0.4724330881
67	0.4697343937
68	0.4676003127
69	0.4648367062
70	0.4626906389
71	0.4603716412
72	0.4577325467
73	0.4558156614
74	0.453521099
75	0.4510404055
76	0.4488657859
77	0.4470143574
78	0.4451815
79	0.4425320699
80	0.4402115706
81	0.4376854975
82	0.4357129215
83	0.4339445192
84	0.4323632979
85	0.430163156
86	0.4281485164
87	0.4260181021
88	0.4239003648
89	0.4217308294
90	0.4197431677
91	0.4177598974
92	0.4159395716
93	0.4138458355
94	0.4115733379
95	0.4095781147
96	0.407869591
97	0.4061572431
98	0.4045918129
99	0.4027546791
100	0.4006345779
101	0.3986387765
102	0.3967818576
103	0.3948234858
104	0.3929590808
105	0.3906370888
106	0.3883291629
107	0.3868243224
108	0.3851040089
109	0.3834349241
110	0.381381999
111	0.3801307919
112	0.3782780913
113	0.3759944
114	0.3739039647
115	0.372479513
116	0.3707483819
117	0.3690188956
118	0.3675417848
119	0.3655747081
120	0.3639093198
121	0.3621637403
122	0.3605091467
123	0.3584151278
124	0.3570977334
125	0.3556360351
126	0.3539377169
127	0.3523645715
128	0.3508844532
129	0.3486728355
130	0.3472225582
131	0.3454482148
132	0.3441139951
133	0.3426319904
134	0.3410710839
135	0.339286731
136	0.3377589029
137	0.3365829827
138	0.3350958908
139	0.3333311677
140	0.3315454795
141	0.3302517021
142	0.3285620505
143	0.3278184836
144	0.3261897846
145	0.3247781908
146	0.323795945
147	0.3225115757
148	0.3211068103
149	0.3195236723
150	0.3180479711
151	0.3167041917
152	0.3155320987
153	0.3140311576
154	0.3129435882
155	0.3114045848
156	0.3103258327
157	0.3090221788
158	0.3075648285
159	0.3061037032
160	0.3042640895
161	0.3033122776
162	0.3023768161
163	0.3010978782
164	0.2996767979
165	0.2983993313
166	0.297507491
167	0.2962061982
168	0.2948257212
169	0.2938359223
170	0.2923893102
171	0.2910770931
172	0.2895607122
173	0.2885940033
174	0.2870557381
175	0.2857731759
176	0.2843122409
177	0.28305907
178	0.2817359504
